

Año: 2019 Mes: 1

FECHA            LICENCIA                        NOMBRE                         FALTA
========================================================================================================================================================================================================
2019/01/02       15559308     ZAMORA ZAVALETA RONAL MANUEL                                       335
2019/01/02       16477908     ZAMORA ZAVALETA RONAL MANUEL                                       115
2019/01/02       47844324     ZAMORA ZAVALETA RONAL MANUEL                                       329
2019/01/03       15115705     ZAMORA ZAVALETA RONAL MANUEL                                       170
2019/01/04       90467829     ZAMORA ZAVALETA RONAL MANUEL                                       170
2019/01/04       70414420     ZAMORA ZAVALETA RONAL MANUEL                                       338
2019/01/05       68310808     ZAMORA ZAVALETA RONAL MANUEL                                       306
2019/01/05       81485316     ZAMORA ZAVALETA RONAL MANUEL                                       327
2019/01/06       31107104     ZAMORA ZAVALETA RONAL MANUEL                                       154
2019/01/06       60335381     ZAMORA ZAVALETA RONAL MANUEL                                       337
2019/01/07       79766395     ZAMORA ZAVALETA RONAL MANUEL                                       305
2019/01/08       77763722     ZAMORA ZAVALETA RONAL MANUEL                                       115
2019/01/09       79672079     ZAMORA ZAVALETA RONAL MANUEL                                       305
2019/01/09       15029228     ZAMORA ZAVALETA RONAL MANUEL                                       304
2019/01/09       35671623     ZAMORA ZAVALETA RONAL MANUEL                                       157
2019/01/10       26522329     ZAMORA ZAVALETA RONAL MANUEL                                       323
2019/01/10       88167677     ZAMORA ZAVALETA RONAL MANUEL                                       148
2019/01/12       19963454     ZAMORA ZAVALETA RONAL MANUEL                                       111
2019/01/12       81485316     ZAMORA ZAVALETA RONAL MANUEL                                       320
2019/01/12       45043076     ZAMORA ZAVALETA RONAL MANUEL                                       334
2019/01/14       77367073     ZAMORA ZAVALETA RONAL MANUEL                                       336
2019/01/16       34976629     ZAMORA ZAVALETA RONAL MANUEL                                       334
2019/01/16       47528229     ZAMORA ZAVALETA RONAL MANUEL                                       149
2019/01/16       35683701     ZAMORA ZAVALETA RONAL MANUEL                                       314
2019/01/16       27864822     ZAMORA ZAVALETA RONAL MANUEL                                       318
2019/01/17       77367073     ZAMORA ZAVALETA RONAL MANUEL                                       132
2019/01/18       84186239     ZAMORA ZAVALETA RONAL MANUEL                                       330
2019/01/18       48878256     ZAMORA ZAVALETA RONAL MANUEL                                       310
2019/01/19       30046639     ZAMORA ZAVALETA RONAL MANUEL                                       136
2019/01/20       25518120     ZAMORA ZAVALETA RONAL MANUEL                                       103
2019/01/20       73567806     ZAMORA ZAVALETA RONAL MANUEL                                       306
2019/01/21       85501710     ZAMORA ZAVALETA RONAL MANUEL                                       206
2019/01/21       53853385     ZAMORA ZAVALETA RONAL MANUEL                                       323
2019/01/22       52002275     ZAMORA ZAVALETA RONAL MANUEL                                       117
2019/01/22       81799482     ZAMORA ZAVALETA RONAL MANUEL                                       309
2019/01/23       64532449     ZAMORA ZAVALETA RONAL MANUEL                                       162
2019/01/25       64532449     ZAMORA ZAVALETA RONAL MANUEL                                       108
2019/01/25       36079131     ZAMORA ZAVALETA RONAL MANUEL                                       308
2019/01/25       27185429     ZAMORA ZAVALETA RONAL MANUEL                                       327
2019/01/26       70414420     ZAMORA ZAVALETA RONAL MANUEL                                       336
2019/01/29       32244565     ZAMORA ZAVALETA RONAL MANUEL                                       153
2019/01/29       29989682     ZAMORA ZAVALETA RONAL MANUEL                                       311
2019/01/29       47844324     ZAMORA ZAVALETA RONAL MANUEL                                       335
2019/01/30       21621497     ZAMORA ZAVALETA RONAL MANUEL                                       321
2019/01/30       54447051     ZAMORA ZAVALETA RONAL MANUEL                                       304
2019/01/30       35683701     ZAMORA ZAVALETA RONAL MANUEL                                       155
2019/01/31       21621497     ZAMORA ZAVALETA RONAL MANUEL                                       163
========================================================================================================================================================================================================


Año: 2019 Mes: 2

FECHA            LICENCIA                        NOMBRE                         FALTA
========================================================================================================================================================================================================
2019/02/02       51929951     ZAMORA ZAVALETA RONAL MANUEL                                       325
